GENDER,BIPOCFmt,FGFmt,PellFmt,Group2,EYEAR,N,Ret2nd,Ret3rd,Ret4th,GradIn4,GradIn5,GradIn6,GradTerm
M,Not BIPOC,First gen,Not Pell,2. Other,2018,38,0.710526316,0.578947368,,,,,
M,Not BIPOC,First gen,Not Pell,2. Other,2019,56,0.839285714,,,,,,
M,Not BIPOC,First gen,Pell,1. Rural/Small Rural,2014,9,1,0.75,0.75,0.444444444,0.888888889,0.888888889,11.875
M,Not BIPOC,First gen,Pell,1. Rural/Small Rural,2015,8,0.875,0.875,0.75,0.25,0.625,,13
M,Not BIPOC,First gen,Pell,1. Rural/Small Rural,2016,4,1,0.75,0.5,0,,,
M,Not BIPOC,First gen,Pell,1. Rural/Small Rural,2017,5,0.8,0.8,0.8,,,,
M,Not BIPOC,First gen,Pell,1. Rural/Small Rural,2018,5,0.8,0.4,,,,,
M,Not BIPOC,First gen,Pell,1. Rural/Small Rural,2019,6,0.666666667,,,,,,
M,Not BIPOC,First gen,Pell,2. Other,2014,37,0.864864865,0.702702703,0.594594595,0.351351351,0.540540541,0.594594595,12.40909091
M,Not BIPOC,First gen,Pell,2. Other,2015,41,0.902439024,0.804878049,0.736842105,0.536585366,0.682926829,,11.28571429
M,Not BIPOC,First gen,Pell,2. Other,2016,28,0.785714286,0.642857143,0.62962963,0.25,,,10.71428571
M,Not BIPOC,First gen,Pell,2. Other,2017,34,0.823529412,0.617647059,0.529411765,,,,10
M,Not BIPOC,First gen,Pell,2. Other,2018,34,0.794117647,0.647058824,,,,,
M,Not BIPOC,First gen,Pell,2. Other,2019,37,0.783783784,,,,,,
M,Not BIPOC,Not first gen,Not Pell,1. Rural/Small Rural,2014,52,0.923076923,0.807692308,0.769230769,0.480769231,0.711538462,0.730769231,12.33333333
M,Not BIPOC,Not first gen,Not Pell,1. Rural/Small Rural,2015,43,0.860465116,0.860465116,0.860465116,0.558139535,0.813953488,,11.85714286
M,Not BIPOC,Not first gen,Not Pell,1. Rural/Small Rural,2016,54,0.907407407,0.87037037,0.833333333,0.592592593,,,11.26470588
M,Not BIPOC,Not first gen,Not Pell,1. Rural/Small Rural,2017,47,0.829787234,0.787234043,0.739130435,,,,9
M,Not BIPOC,Not first gen,Not Pell,1. Rural/Small Rural,2018,61,0.918032787,0.852459016,,,,,
M,Not BIPOC,Not first gen,Not Pell,1. Rural/Small Rural,2019,70,0.9,,,,,,
M,Not BIPOC,Not first gen,Not Pell,2. Other,2014,691,0.900144718,0.849493488,0.840409956,0.523878437,0.756874096,0.79739508,12.14208633
M,Not BIPOC,Not first gen,Not Pell,2. Other,2015,714,0.896358543,0.834733894,0.820113314,0.518207283,0.740896359,,11.91544118
M,Not BIPOC,Not first gen,Not Pell,2. Other,2016,818,0.909535452,0.85207824,0.826517968,0.583129584,,,11.1996337
M,Not BIPOC,Not first gen,Not Pell,2. Other,2017,765,0.921568627,0.862385321,0.826203209,,,,9.368421053
M,Not BIPOC,Not first gen,Not Pell,2. Other,2018,773,0.905562743,0.847150259,,,,,6.5
M,Not BIPOC,Not first gen,Not Pell,2. Other,2019,802,0.864089776,,,,,,
M,Not BIPOC,Not first gen,Pell,1. Rural/Small Rural,2014,20,0.95,0.75,0.736842105,0.45,0.65,0.7,12
M,Not BIPOC,Not first gen,Pell,1. Rural/Small Rural,2015,25,0.8,0.68,0.68,0.44,0.6,,11.66666667
M,Not BIPOC,Not first gen,Pell,1. Rural/Small Rural,2016,14,0.857142857,0.714285714,0.714285714,0.571428571,,,11.22222222
M,Not BIPOC,Not first gen,Pell,1. Rural/Small Rural,2017,11,0.727272727,0.636363636,0.6,,,,8
M,Not BIPOC,Not first gen,Pell,1. Rural/Small Rural,2018,12,0.833333333,0.833333333,,,,,
M,Not BIPOC,Not first gen,Pell,1. Rural/Small Rural,2019,12,0.833333333,,,,,,
M,Not BIPOC,Not first gen,Pell,2. Other,2014,115,0.860869565,0.843478261,0.843478261,0.417391304,0.669565217,0.747826087,12.64367816
M,Not BIPOC,Not first gen,Pell,2. Other,2015,125,0.912,0.872,0.846774194,0.464,0.736,,12.12903226
M,Not BIPOC,Not first gen,Pell,2. Other,2016,107,0.887850467,0.813084112,0.83,0.579439252,,,11.12328767
M,Not BIPOC,Not first gen,Pell,2. Other,2017,100,0.92,0.86,0.828282828,,,,9
M,Not BIPOC,Not first gen,Pell,2. Other,2018,112,0.955357143,0.883928571,,,,,
M,Not BIPOC,Not first gen,Pell,2. Other,2019,94,0.861702128,,,,,,
