GENDER_CD,Group,Group2,BIPOCFmt,FGFmt,CCHE_FAFSA_CODE,Pell,AGI,FedGrants,FedStudentLoans,FedWorkStudy,InstNeedBasedGrants,InstNonNeedBasedGrants,PrivateSchol,TotalStudentLoans,EFC,FAFSA,GotFedGrants,GotFedStudentLoans,GotFedWorkStudy,FedTotal,GotFedAny,GotPrivateSchol,GotStudentLoans,GotInstNBGrant,GotInstNonNeedGrant,GotAidAny,GotNBAid
F,3. Other,2. Other,Not BIPOC,Not first gen,1,1,-713721,6295,7500,,,2500,,7500,45,1,1,1,0,13795,1,0,1,0,1,1,1
M,3. Other,2. Other,Not BIPOC,Not first gen,1,1,-19356,697.5,3750,,1425,,,3750,4904,1,1,1,0,4447.5,1,0,1,1,0,1,1
M,3. Other,2. Other,Not BIPOC,Not first gen,2,,,,,,,3000,,,0,0,0,0,0,,0,0,0,0,1,1,0
M,3. Other,2. Other,Not BIPOC,Not first gen,2,,,,,,,,,,0,0,0,0,0,,0,0,0,0,0,0,0
M,3. Other,2. Other,BIPOC,Not first gen,2,,,,,,,500,,,0,0,0,0,0,,0,0,0,0,1,1,0
M,3. Other,2. Other,Not BIPOC,Not first gen,1,1,12136,3147.5,,,1900,238,,,95,1,1,0,0,3147.5,1,0,0,1,1,1,1
F,3. Other,2. Other,BIPOC,Not first gen,1,0,57076,,,,,2500,,,6269,1,0,0,0,,0,0,0,0,1,1,1
M,3. Other,2. Other,Not BIPOC,Not first gen,2,,,,,,,2000,,,0,0,0,0,0,,0,0,0,0,1,1,0
F,3. Other,2. Other,Not BIPOC,Not first gen,1,0,189141,,,,,15358,16016,,29963,1,0,0,0,,0,1,0,0,1,1,0
F,3. Other,2. Other,Not BIPOC,Not first gen,1,0,217499,,7500,,,2500,,32706,57492,1,0,1,0,7500,1,0,1,0,1,1,0
F,3. Other,2. Other,Not BIPOC,First gen,1,0,113855,,,,,,,,52869,1,0,0,0,,0,0,0,0,0,0,0
M,3. Other,2. Other,BIPOC,Not first gen,1,0,280613,,,,,,,,80648,1,0,0,0,,0,0,0,0,0,0,0
F,3. Other,2. Other,BIPOC,Not first gen,1,1,21582,6345,,,6650,3500,,,0,1,1,0,0,6345,1,0,0,1,1,1,1
M,3. Other,2. Other,BIPOC,First gen,1,1,62433,1658,,,,,,,4414,1,1,0,0,1658,1,0,0,0,0,1,1
F,3. Other,2. Other,Not BIPOC,Not first gen,2,,,,,,,,500,,0,0,0,0,0,,0,1,0,0,0,1,0
M,3. Other,2. Other,BIPOC,Not first gen,1,1,14826,3172.5,,,,,,,0,1,1,0,0,3172.5,1,0,0,0,0,1,1
F,3. Other,2. Other,Not BIPOC,Not first gen,2,,,,,,,,,,0,0,0,0,0,,0,0,0,0,0,0,0
F,3. Other,2. Other,BIPOC,Not first gen,,,,,,,,,,,,0,0,0,0,,0,0,0,0,0,0,0
M,3. Other,2. Other,BIPOC,First gen,1,0,92129,,2626,,1000,,,2626,14391,1,0,1,0,2626,1,0,1,1,0,1,1
M,3. Other,2. Other,BIPOC,First gen,1,0,36039,,6250,,,,,6250,5845,1,0,1,0,6250,1,0,1,0,0,1,1
F,3. Other,2. Other,Not BIPOC,Not first gen,2,,,,,,,,,,0,0,0,0,0,,0,0,0,0,0,0,0
F,3. Other,2. Other,Not BIPOC,Not first gen,1,0,77522,,,,1200,1250,5000,,11568,1,0,0,0,,0,1,0,1,1,1,1
M,3. Other,2. Other,BIPOC,Not first gen,1,0,225051,,7500,,,5000,,7500,30292,1,0,1,0,7500,1,0,1,0,1,1,0
