Gender,Rural_or_not,BIPOC_or_not,FirstGen_or_not,Completed_FAFSA,Exp_FamilyContribution,Adjusted_GrossIncome,Got_FedGrants,Got_NeedBasedAid,Got_Any_Aid
F,0,1,0,1,32820.0,145167.0,0,0,1
M,0,0,0,1,4165.0,73332.0,1,1,1
F,0,1,1,1,2888.0,16622.0,1,1,1
M,0,1,1,1,14929.0,102526.0,0,1,1
M,0,0,0,1,76365.0,192325.0,0,0,1
F,0,0,0,1,37351.0,221376.0,0,0,0
M,0,1,1,1,4842.0,68044.0,0,0,1
M,0,0,0,1,61623.0,356765.0,0,0,1
F,0,1,0,1,1816.0,56135.0,1,1,1
F,0,1,0,1,3844.0,65797.0,1,1,1
F,0,1,1,1,2869.0,59163.0,1,1,1
M,0,0,0,1,94752.0,333591.0,0,0,0
F,0,1,1,1,7147.0,51211.0,0,1,1
F,0,0,0,1,152314.0,240914.0,0,0,1
F,0,0,0,1,17621.0,146832.0,1,1,1
M,0,1,0,1,17444.0,119987.0,0,0,1
M,0,1,0,1,36570.0,151902.0,0,0,1
F,0,0,0,1,117584.0,385422.0,0,0,1
F,1,1,1,1,2.0,24510.0,1,1,1
M,0,1,0,1,7015.0,94937.0,0,1,1
M,0,0,0,1,117453.0,368130.0,0,0,1
F,0,0,0,1,24991.0,184657.0,0,1,1
M,0,0,0,1,86468.0,360937.0,0,0,1
M,0,1,0,1,2815.0,41574.0,1,1,1
M,0,0,0,1,13568.0,132034.0,0,0,0
F,0,0,0,1,142367.0,469957.0,0,0,1
M,0,0,0,1,124441.0,208121.0,0,0,1
M,0,0,0,1,100.0,19605.0,1,1,1
M,0,0,0,1,17921.0,106018.0,1,1,1
F,0,1,0,1,46.0,12012.0,0,0,0
F,0,0,0,1,124349.0,192063.0,0,0,1
M,0,1,0,1,36161.0,110330.0,0,0,1
F,0,0,0,1,25801.0,157710.0,0,0,1
F,0,0,1,1,8161.0,54514.0,0,1,1
F,0,0,0,1,32938.0,212907.0,0,1,1
F,0,0,0,1,61156.0,216086.0,0,0,1
M,0,0,0,1,31444.0,216168.0,0,0,1
F,0,0,0,1,75255.0,278417.0,0,0,1
M,0,1,0,1,22969.0,172315.0,0,0,1
F,0,1,0,1,50709.0,163769.0,0,0,1
F,0,0,1,1,22136.0,115699.0,0,1,1
M,0,1,1,1,45655.0,260989.0,0,0,1
M,0,0,0,1,132350.0,483066.0,0,0,1
M,0,1,1,1,5336.0,64572.0,1,1,1
M,0,1,0,1,37192.0,133943.0,0,0,1
F,0,0,1,1,11240.0,96778.0,0,1,1
F,0,0,0,1,5666.0,77742.0,1,1,1
M,0,0,0,1,34724.0,216610.0,0,0,1
M,0,0,0,1,20796.0,176090.0,0,0,0
M,0,0,0,1,22167.0,81885.0,0,1,1
M,0,0,0,1,20629.0,104490.0,0,0,1
F,0,0,0,1,49005.0,215309.0,0,0,1
M,0,0,0,1,27366.0,183239.0,0,0,1
F,0,0,0,1,40054.0,164704.0,0,0,0
M,0,1,0,1,2734.0,49170.0,1,1,1
F,0,1,0,1,38238.0,111355.0,0,0,0
F,0,0,0,1,94618.0,422600.0,0,0,1
M,0,0,0,1,41462.0,214623.0,0,0,1
M,0,0,0,1,6633.0,75201.0,0,1,1
F,0,0,0,1,26343.0,134782.0,0,1,1
M,0,0,0,1,34212.0,239285.0,0,0,1
M,0,1,1,1,2951.0,64180.0,1,1,1
M,0,0,0,1,19521.0,149948.0,0,1,1
M,0,1,0,1,49268.0,192726.0,0,0,1
M,0,0,1,1,86020.0,230289.0,0,0,0
M,0,0,0,1,38551.0,212767.0,0,0,1
M,0,1,1,1,2881.0,49925.0,1,1,1
M,0,0,0,1,31234.0,197824.0,0,0,0
F,0,0,0,1,14113.0,112867.0,0,1,1
M,0,0,0,1,11498.0,96149.0,0,1,1
F,0,0,0,1,22316.0,99769.0,0,1,1
M,0,1,0,1,11429.0,69560.0,0,1,1
F,0,0,1,1,22060.0,186810.0,0,1,1
M,0,0,0,1,48591.0,203890.0,0,0,1
F,0,0,0,1,24829.0,176035.0,0,0,1
F,0,0,0,1,4500.0,68787.0,1,1,1
M,0,0,0,1,4772.0,59103.0,1,1,1
F,0,1,0,1,27208.0,161929.0,0,1,1
M,0,0,0,1,104569.0,270081.0,0,0,0
M,0,0,0,1,18098.0,173468.0,0,0,0
F,0,0,0,1,54595.0,159954.0,0,0,1
M,0,0,0,1,9546.0,110104.0,0,1,1
M,0,0,1,1,77838.0,259373.0,0,0,0
